2020-07-26 14:28:42.083 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - hi: samuel 配置中心的name:samuel, 年龄为:22
2020-07-26 17:18:15.704 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - 插入成功
2020-07-26 17:19:30.220 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - 插入成功
2020-07-26 17:20:20.936 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - 插入成功
2020-07-26 18:18:50.403 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - 插入成功
2020-07-26 18:21:34.267 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - 插入成功
2020-07-26 18:42:45.622 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。登录功能/user/login","code":0}
2020-07-26 18:43:22.344 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。登录功能/user/login","code":0}
2020-07-26 18:44:16.814 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - 插入成功
2020-07-26 19:33:50.579 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。登录功能","code":0,"url":"request.getContextPath()/user/login"}
2020-07-26 19:44:38.238 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 21:11:25.896 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - success
2020-07-26 21:36:01.307 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - success
2020-07-26 22:02:49.679 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - UserDTO(userName=samuel, userPassword=202cb962ac59075b964b07152d234b70, userAge=22, userPhone=15200000000, roleName=普通用户, createTime=Sun Jul 26 17:18:15 CST 2020, authorityId=2, status=1)
2020-07-26 22:06:28.038 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - UserDTO(userName=samuel, userPassword=202cb962ac59075b964b07152d234b70, userAge=22, userPhone=15200000000, roleName=普通用户, createTime=Sun Jul 26 17:18:15 CST 2020, authorityId=2, status=1)
2020-07-26 22:08:26.789 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"账户不存在或账户","code":1}
2020-07-26 22:08:36.506 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:15:00.711 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:15:21.810 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:15:38.571 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:15:42.938 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:20:59.752 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:22:22.942 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:22:34.552 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:22:57.750 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:23:16.596 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:31:59.822 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:32:59.357 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:33:09.846 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:33:10.310 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"samuel该用户所拥有的菜单:","code":1,"samuel该用户所拥有的菜单:":{"查看主页":{"authorityId":2,"menuId":3,"menuName":"查看主页","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"},"历史记录":{"authorityId":2,"menuId":2,"menuName":"历史记录","menuUrl":"127.0.0.1:9001/rbac-service/user/gethistory"}}}
2020-07-26 22:38:01.266 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:38:10.171 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:38:21.301 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:44:59.404 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
2020-07-26 22:47:08.900 [reactor-http-nio-2] INFO  com.boss.springcloud.filter.ResponseRecordFilter - {"msg":"您还未登录，请先登录。","code":0,"url":"/user/login"}
